"Date","Open","High","Low","Close","Volume","OpenInt"
06/19/1998,1199.40,1199.40,1199.40,1199.40,1,0
06/22/1998,1204.00,1204.00,1204.00,1204.00,0,0
06/23/1998,1218.60,1218.60,1218.60,1218.60,0,0
06/24/1998,1235.10,1235.10,1235.10,1235.10,0,0
06/25/1998,1232.30,1232.30,1232.30,1232.30,0,0
06/26/1998,1236.30,1236.30,1236.30,1236.30,0,0
06/29/1998,1242.50,1242.50,1242.50,1242.50,0,0
06/30/1998,1235.50,1235.50,1235.50,1235.50,0,0
07/01/1998,1250.80,1250.80,1250.80,1250.80,0,0
07/02/1998,1251.80,1251.80,1251.80,1251.80,0,0
07/06/1998,1262.80,1262.80,1262.80,1262.80,0,0
07/07/1998,1258.60,1258.60,1258.60,1258.60,0,0
07/08/1998,1267.80,1267.80,1267.80,1267.80,0,0
07/09/1998,1261.30,1261.30,1261.30,1261.30,0,0
07/10/1998,1266.80,1266.80,1266.80,1266.80,0,0
07/13/1998,1267.50,1267.50,1267.50,1267.50,0,0
07/14/1998,1279.80,1279.80,1279.80,1279.80,0,0
07/15/1998,1278.40,1278.40,1278.40,1278.40,0,0
07/16/1998,1285.70,1285.70,1285.70,1285.70,0,0
07/17/1998,1287.70,1287.70,1287.70,1287.70,0,0
07/20/1998,1286.70,1286.70,1286.70,1286.70,0,0
07/21/1998,1264.70,1264.70,1264.70,1264.70,0,0
07/22/1998,1264.90,1264.90,1264.90,1264.90,0,0
07/23/1998,1239.40,1239.40,1239.40,1239.40,0,0
07/24/1998,1237.40,1237.40,1237.40,1237.40,0,0
07/27/1998,1243.90,1243.90,1243.90,1243.90,0,0
07/28/1998,1225.90,1225.90,1225.90,1225.90,0,0
07/29/1998,1218.90,1218.90,1218.90,1218.90,0,0
07/30/1998,1235.90,1235.90,1235.90,1235.90,0,0
07/31/1998,1214.90,1214.90,1214.90,1214.90,0,0
08/03/1998,1208.40,1208.40,1208.40,1208.40,0,0
08/04/1998,1159.80,1159.80,1159.80,1159.80,0,0
08/05/1998,1172.80,1172.80,1172.80,1172.80,0,0
08/06/1998,1176.70,1176.70,1176.70,1176.70,0,0
08/07/1998,1176.70,1176.70,1176.70,1176.70,0,0
08/10/1998,1171.70,1171.70,1171.70,1171.70,0,0
08/11/1998,1154.80,1154.80,1154.80,1154.80,0,0
08/12/1998,1173.80,1173.80,1173.80,1173.80,0,0
08/13/1998,1160.40,1160.40,1160.40,1160.40,0,0
08/14/1998,1146.40,1146.40,1146.40,1146.40,0,0
08/17/1998,1167.00,1167.00,1167.00,1167.00,0,0
08/18/1998,1190.30,1190.30,1190.30,1190.30,0,0
08/19/1998,1188.30,1188.30,1188.30,1188.30,0,0
08/20/1998,1180.30,1180.30,1180.30,1180.30,0,0
08/21/1998,1171.00,1171.00,1171.00,1171.00,0,0
08/24/1998,1176.50,1176.50,1176.50,1176.50,0,0
08/25/1998,1176.00,1176.00,1176.00,1176.00,0,0
08/26/1998,1167.50,1167.50,1167.50,1167.50,0,0
08/27/1998,1112.50,1112.50,1112.50,1112.50,0,0
08/28/1998,1108.60,1108.60,1108.60,1108.60,0,0
08/31/1998,1017.20,1017.20,1017.20,1017.20,0,0
09/01/1998,1062.20,1062.20,1062.20,1062.20,0,0
09/02/1998,1053.30,1053.30,1053.30,1053.30,0,0
09/03/1998,1046.30,1046.30,1046.30,1046.30,0,0
09/04/1998,1038.30,1038.30,1038.30,1038.30,0,0
09/08/1998,1094.60,1094.60,1094.60,1094.60,0,0
09/09/1998,1068.60,1068.60,1068.60,1068.60,0,0
09/10/1998,1034.60,1034.60,1034.60,1034.60,0,0
09/11/1998,1079.60,1079.60,1079.60,1079.60,0,0
09/14/1998,1094.90,1094.90,1094.90,1094.90,0,0
09/15/1998,1103.90,1103.90,1103.90,1103.90,0,0
09/16/1998,1117.10,1117.10,1117.10,1117.10,0,0
09/17/1998,1086.10,1086.10,1086.10,1086.10,0,0
09/18/1998,1087.10,1087.10,1087.10,1087.10,0,0
09/21/1998,1086.50,1086.50,1086.50,1086.50,0,0
09/22/1998,1095.50,1095.50,1095.50,1095.50,0,0
09/23/1998,1135.50,1135.50,1135.50,1135.50,0,0
09/24/1998,1109.00,1109.00,1109.00,1109.00,0,0
09/25/1998,1105.50,1105.50,1105.50,1105.50,0,0
09/28/1998,1118.00,1118.00,1118.00,1118.00,0,0
09/29/1998,1112.00,1112.00,1112.00,1112.00,0,0
09/30/1998,1079.50,1079.50,1079.50,1079.50,0,0
10/01/1998,1042.00,1042.00,1042.00,1042.00,0,0
10/02/1998,1061.00,1061.00,1061.00,1061.00,0,0
10/05/1998,1043.00,1043.00,1043.00,1043.00,0,0
10/06/1998,1043.50,1043.50,1043.50,1043.50,0,0
10/07/1998,1028.00,1028.00,1028.00,1028.00,0,0
10/08/1998,1015.00,1015.00,1015.00,1015.00,0,0
10/09/1998,1041.00,1041.00,1041.00,1041.00,0,0
10/12/1998,1053.00,1053.00,1053.00,1053.00,0,0
10/13/1998,1051.00,1051.00,1051.00,1051.00,0,0
10/14/1998,1058.00,1058.00,1058.00,1058.00,0,0
10/15/1998,1110.00,1110.00,1110.00,1110.00,0,0
10/16/1998,1112.00,1112.00,1112.00,1112.00,0,0
10/19/1998,1115.70,1115.70,1115.70,1115.70,0,0
10/20/1998,1121.40,1121.40,1121.40,1121.40,0,0
10/21/1998,1119.90,1119.90,1119.90,1119.90,0,0
10/22/1998,1135.90,1135.90,1135.90,1135.90,0,0
10/23/1998,1124.50,1124.50,1124.50,1124.50,0,0
10/26/1998,1134.00,1134.00,1134.00,1134.00,0,0
10/27/1998,1125.50,1125.50,1125.50,1125.50,0,0
10/28/1998,1124.10,1124.10,1124.10,1124.10,0,0
10/29/1998,1149.30,1149.30,1149.30,1149.30,0,0
10/30/1998,1159.30,1159.30,1159.30,1159.30,0,0
11/02/1998,1178.20,1178.20,1178.20,1178.20,146,130
11/03/1998,1173.20,1173.20,1173.20,1173.20,0,130
11/04/1998,1184.20,1184.20,1184.20,1184.20,0,130
11/05/1998,1201.70,1201.70,1201.70,1201.70,77,281
11/06/1998,1211.10,1211.10,1211.10,1211.10,185,311
11/09/1998,1198.50,1198.50,1198.50,1198.50,0,311
11/10/1998,1189.90,1189.90,1189.90,1189.90,201,462
11/11/1998,1186.90,1186.90,1186.90,1186.90,29,451
11/12/1998,1185.50,1185.50,1185.50,1185.50,0,451
11/13/1998,1194.30,1194.30,1194.30,1194.30,0,466
11/16/1998,1204.90,1204.90,1204.90,1204.90,0,466
11/17/1998,1206.60,1206.60,1206.60,1206.60,15,466
11/18/1998,1214.00,1214.00,1214.00,1214.00,0,466
11/19/1998,1223.30,1223.30,1223.30,1223.30,0,466
11/20/1998,1232.90,1232.90,1232.90,1232.90,0,466
11/23/1998,1263.00,1263.00,1263.00,1263.00,0,466
11/24/1998,1257.20,1257.20,1257.20,1257.20,0,466
11/25/1998,1258.10,1258.10,1258.10,1258.10,0,466
11/27/1998,1265.70,1265.70,1265.70,1265.70,0,466
11/30/1998,1231.20,1231.20,1231.20,1231.20,0,466
12/01/1998,1242.20,1242.20,1242.20,1242.20,0,466
12/02/1998,1238.50,1238.50,1238.50,1238.50,10,471
12/03/1998,1217.90,1217.90,1217.90,1217.90,0,471
12/04/1998,1247.20,1247.20,1247.20,1247.20,0,471
12/07/1998,1256.20,1256.20,1256.20,1256.20,0,471
12/08/1998,1250.10,1250.10,1250.10,1250.10,0,471
12/09/1998,1252.20,1252.20,1252.20,1252.20,0,471
12/10/1998,1232.60,1232.60,1232.60,1232.60,0,471
12/11/1998,1229.60,1229.60,1229.60,1229.60,0,471
12/14/1998,1201.60,1201.60,1201.60,1201.60,0,471
12/15/1998,1226.50,1226.50,1226.50,1226.50,0,471
12/16/1998,1226.50,1226.50,1226.50,1226.50,0,471
12/17/1998,1246.50,1246.50,1246.50,1246.50,0,471
12/18/1998,1251.50,1251.50,1251.50,1251.50,0,471
12/21/1998,1269.60,1269.60,1269.60,1269.60,0,471
12/22/1998,1271.60,1271.60,1271.60,1271.60,0,471
12/23/1998,1300.60,1300.60,1300.60,1300.60,0,471
12/24/1998,1299.00,1299.00,1299.00,1299.00,0,471
12/28/1998,1293.00,1293.00,1293.00,1293.00,0,471
12/29/1998,1316.40,1316.40,1316.40,1316.40,0,471
12/30/1998,1315.00,1315.00,1301.90,1301.90,2,473
12/31/1998,1305.20,1305.20,1305.20,1305.20,0,473
01/04/1999,1298.40,1298.40,1298.40,1298.40,0,473
01/05/1999,1310.50,1310.50,1310.50,1310.50,0,473
01/06/1999,1332.00,1339.50,1332.00,1339.50,4,473
01/07/1999,1336.00,1336.70,1336.00,1336.70,2,475
01/08/1999,1348.00,1348.00,1348.00,1348.00,0,470
01/11/1999,1335.30,1335.30,1335.30,1335.30,0,470
01/12/1999,1310.80,1310.80,1310.80,1310.80,0,470
01/13/1999,1283.80,1295.70,1283.80,1295.70,2,472
01/14/1999,1273.50,1273.50,1273.50,1273.50,0,472
01/15/1999,1307.00,1307.00,1307.00,1307.00,0,472
01/19/1999,1313.30,1313.30,1313.30,1313.30,0,472
01/20/1999,1333.70,1333.70,1329.70,1329.70,6,470
01/21/1999,1290.30,1290.30,1290.30,1290.30,20,487
01/22/1999,1290.00,1290.00,1289.20,1289.20,4,488
01/25/1999,1301.00,1301.00,1301.00,1301.00,0,488
01/26/1999,1315.00,1327.70,1315.00,1327.70,2,487
01/27/1999,1327.00,1327.00,1307.90,1307.90,5,491
01/28/1999,1327.90,1327.90,1327.90,1327.90,0,491
01/29/1999,1337.00,1345.00,1337.00,1345.00,2,493
02/01/1999,1347.00,1347.00,1338.60,1338.60,2,495
02/02/1999,1328.90,1328.90,1328.90,1328.90,1,496
02/03/1999,1342.60,1342.60,1342.60,1342.60,0,496
02/04/1999,1319.80,1319.80,1319.80,1319.80,0,495
02/05/1999,1306.90,1306.90,1306.90,1306.90,0,495
02/08/1999,1310.60,1310.60,1310.60,1310.60,0,495
02/09/1999,1280.50,1280.50,1280.50,1280.50,1,495
02/10/1999,1286.00,1286.00,1286.00,1286.00,0,495
02/11/1999,1323.50,1323.50,1323.50,1323.50,0,495
02/12/1999,1301.00,1301.00,1301.00,1301.00,0,495
02/16/1999,1305.10,1305.10,1305.10,1305.10,0,495
02/17/1999,1291.30,1291.30,1291.30,1291.30,0,495
02/18/1999,1299.90,1299.90,1299.90,1299.90,0,495
02/19/1999,1305.20,1305.20,1305.20,1305.20,0,495
02/22/1999,1337.50,1337.50,1337.50,1337.50,0,495
02/23/1999,1339.50,1339.50,1339.50,1339.50,0,495
02/24/1999,1316.30,1316.30,1316.30,1316.30,0,495
02/25/1999,1313.00,1313.00,1304.40,1304.40,6,489
02/26/1999,1299.50,1299.50,1299.50,1299.50,0,489
03/01/1999,1302.50,1302.50,1302.50,1302.50,0,499
03/02/1999,1292.70,1292.70,1292.70,1292.70,0,499
03/03/1999,1297.50,1297.50,1297.50,1297.50,0,494
03/04/1999,1300.00,1313.70,1300.00,1313.70,2,496
03/05/1999,1335.50,1343.40,1335.00,1343.40,1,497
03/08/1999,1348.30,1348.30,1348.30,1348.30,3,500
03/09/1999,1345.30,1345.30,1345.30,1345.30,0,500
03/10/1999,1355.00,1355.00,1355.00,1355.00,0,500
03/11/1999,1370.00,1370.00,1370.00,1370.00,0,500
03/12/1999,1356.40,1356.40,1356.40,1356.40,0,500
03/15/1999,1371.70,1371.70,1371.70,1371.70,0,500
