"Date","Open","High","Low","Close","Volume","OpenInt"
03/19/1999,1405.00,1405.00,1405.00,1405.00,0,0
03/22/1999,1408.70,1408.70,1408.70,1408.70,0,0
03/23/1999,1367.30,1367.30,1367.30,1367.30,0,0
03/24/1999,1375.10,1375.10,1375.10,1375.10,0,0
03/25/1999,1399.00,1399.00,1399.00,1399.00,0,0
03/26/1999,1392.40,1392.40,1392.40,1392.40,0,0
03/29/1999,1414.60,1414.60,1414.60,1414.60,0,0
03/30/1999,1414.60,1414.60,1414.60,1414.60,0,0
03/31/1999,1393.10,1393.10,1393.10,1393.10,0,0
04/01/1999,1401.60,1401.60,1401.60,1401.60,0,0
04/05/1999,1430.70,1430.70,1430.70,1430.70,0,0
04/06/1999,1427.90,1427.90,1427.90,1427.90,0,0
04/07/1999,1435.90,1435.90,1435.90,1435.90,0,0
04/08/1999,1453.50,1453.50,1453.50,1453.50,0,0
04/09/1999,1456.10,1456.10,1456.10,1456.10,0,0
04/12/1999,1471.00,1471.00,1471.00,1471.00,0,0
04/13/1999,1461.00,1461.00,1461.00,1461.00,0,0
04/14/1999,1437.40,1437.40,1437.40,1437.40,0,0
04/15/1999,1429.30,1429.30,1429.30,1429.30,0,0
04/16/1999,1419.80,1419.80,1419.80,1419.80,0,0
04/19/1999,1397.90,1397.90,1397.90,1397.90,0,0
04/20/1999,1411.50,1411.50,1411.50,1411.50,0,0
04/21/1999,1450.80,1450.80,1450.80,1450.80,0,0
04/22/1999,1468.50,1468.50,1468.50,1468.50,0,0
04/23/1999,1464.20,1464.20,1464.20,1464.20,0,0
04/26/1999,1472.30,1472.30,1472.30,1472.30,0,0
04/27/1999,1475.90,1475.90,1475.90,1475.90,0,0
04/28/1999,1458.80,1458.80,1458.80,1458.80,0,0
04/29/1999,1448.80,1448.80,1448.80,1448.80,0,0
04/30/1999,1435.30,1435.30,1435.30,1435.30,0,0
05/03/1999,1458.10,1458.10,1458.10,1458.10,0,0
05/04/1999,1441.60,1441.60,1441.60,1441.60,0,0
05/05/1999,1450.60,1450.60,1450.60,1450.60,0,0
05/06/1999,1441.10,1441.10,1441.10,1441.10,0,0
05/07/1999,1450.00,1450.00,1450.00,1450.00,0,0
05/10/1999,1446.50,1446.50,1446.50,1446.50,0,0
05/11/1999,1450.00,1460.00,1450.00,1460.00,5,5
05/12/1999,1470.80,1470.80,1470.80,1470.80,0,5
05/13/1999,1476.30,1476.30,1476.30,1476.30,2,7
05/14/1999,1440.40,1440.40,1440.40,1440.40,1,5
05/17/1999,1440.50,1440.50,1440.50,1440.50,0,5
05/18/1999,1441.20,1441.20,1441.20,1441.20,0,5
05/19/1999,1452.50,1452.50,1452.50,1452.50,0,5
05/20/1999,1444.50,1444.50,1444.50,1444.50,0,5
05/21/1999,1436.60,1436.60,1436.60,1436.60,0,5
05/24/1999,1413.80,1413.80,1413.80,1413.80,1,6
05/25/1999,1384.90,1384.90,1384.90,1384.90,1,5
05/26/1999,1403.50,1403.50,1403.50,1403.50,0,5
05/27/1999,1398.50,1398.50,1384.90,1384.90,3,8
05/28/1999,1396.00,1396.00,1396.00,1396.00,1,8
06/01/1999,1395.90,1395.90,1395.90,1395.90,1,8
06/02/1999,1397.80,1397.80,1397.80,1397.80,1,8
06/03/1999,1407.10,1407.10,1407.10,1407.10,1,8
06/04/1999,1432.70,1432.70,1432.70,1432.70,1,8
06/07/1999,1436.70,1436.70,1436.70,1436.70,1,8
06/08/1999,1424.70,1424.70,1424.70,1424.70,1,8
06/09/1999,1422.40,1422.40,1422.40,1422.40,1,8
06/10/1999,1410.30,1410.30,1410.30,1410.30,1,8
06/11/1999,1398.80,1398.80,1398.80,1398.80,1,8
06/14/1999,1400.10,1400.10,1400.10,1400.10,1,8
06/15/1999,1409.70,1409.70,1409.70,1409.70,1,8
06/16/1999,1434.90,1434.90,1434.90,1434.90,1,8
06/17/1999,1447.80,1447.80,1447.80,1447.80,1,8
06/18/1999,1451.80,1451.80,1451.80,1451.80,1,8
06/21/1999,1456.00,1456.00,1456.00,1456.00,1,8
06/22/1999,1445.30,1445.30,1445.30,1445.30,1,8
06/23/1999,1438.30,1438.30,1438.30,1438.30,1,8
06/24/1999,1429.30,1429.30,1429.30,1429.30,1,8
06/25/1999,1427.00,1427.00,1427.00,1427.00,1,8
06/28/1999,1442.00,1442.00,1442.00,1442.00,1,8
06/29/1999,1455.30,1455.30,1455.30,1455.30,1,8
06/30/1999,1480.70,1480.70,1480.70,1480.70,1,8
07/01/1999,1491.10,1491.10,1491.10,1491.10,1,8
07/02/1999,1506.10,1506.10,1506.10,1506.10,1,0
07/06/1999,1504.10,1504.10,1504.10,1504.10,0,8
07/07/1999,1505.50,1505.50,1505.50,1505.50,1,8
07/08/1999,1506.70,1506.70,1506.70,1506.70,1,8
07/09/1999,1515.80,1515.80,1515.80,1515.80,1,8
07/12/1999,1508.10,1508.10,1508.10,1508.10,1,8
07/13/1999,1502.40,1502.40,1502.40,1502.40,1,8
07/14/1999,1511.30,1511.30,1511.30,1511.30,1,8
07/15/1999,1520.90,1520.90,1520.90,1520.90,1,8
07/16/1999,1528.90,1528.90,1528.90,1528.90,1,8
07/19/1999,1518.30,1518.30,1518.30,1518.30,1,8
07/20/1999,1484.70,1484.70,1484.70,1484.70,1,8
07/21/1999,1482.40,1482.40,1482.40,1482.40,1,8
07/22/1999,1464.80,1464.80,1464.80,1464.80,1,8
07/23/1999,1460.60,1460.60,1460.60,1460.60,1,8
07/26/1999,1452.30,1452.30,1452.30,1452.30,1,8
07/27/1999,1461.90,1461.90,1461.90,1461.90,1,8
07/28/1999,1465.80,1465.80,1465.80,1465.80,1,8
07/29/1999,1448.10,1448.10,1448.10,1448.10,1,8
07/30/1999,1430.60,1430.60,1430.60,1430.60,1,8
08/02/1999,1436.20,1436.20,1436.20,1436.20,1,8
08/03/1999,1429.30,1429.30,1429.30,1429.30,1,8
08/04/1999,1408.80,1408.80,1408.80,1408.80,1,8
08/05/1999,1420.40,1420.40,1420.40,1420.40,1,8
08/06/1999,1406.40,1406.40,1406.40,1406.40,1,8
08/09/1999,1403.00,1403.00,1403.00,1403.00,1,8
08/10/1999,1389.50,1389.50,1389.50,1389.50,1,8
08/11/1999,1403.50,1403.50,1403.50,1403.50,1,8
08/12/1999,1405.90,1405.90,1405.90,1405.90,1,8
08/13/1999,1434.20,1434.20,1434.20,1434.20,1,8
08/16/1999,1440.70,1440.70,1440.70,1440.70,1,8
08/17/1999,1448.40,1448.40,1448.40,1448.40,1,8
08/18/1999,1435.70,1435.70,1435.70,1435.70,1,8
08/19/1999,1427.40,1427.40,1427.40,1427.40,1,8
08/20/1999,1441.30,1441.30,1441.30,1441.30,1,8
08/23/1999,1469.20,1469.20,1469.20,1469.20,1,8
08/24/1999,1473.50,1473.50,1473.50,1473.50,1,8
08/25/1999,1486.50,1486.50,1486.50,1486.50,1,8
08/26/1999,1469.30,1469.30,1469.30,1469.30,1,8
08/27/1999,1453.00,1453.00,1453.00,1453.00,1,8
08/30/1999,1427.00,1427.00,1427.00,1427.00,1,8
08/31/1999,1421.20,1421.20,1421.20,1421.20,1,8
09/01/1999,1435.30,1435.30,1435.30,1435.30,1,8
09/02/1999,1421.00,1421.00,1421.00,1421.00,1,8
09/03/1999,1464.20,1464.20,1464.20,1464.20,1,8
09/07/1999,1456.00,1456.00,1456.00,1456.00,1,8
09/08/1999,1448.90,1448.90,1448.90,1448.90,1,8
09/09/1999,1448.00,1448.00,1448.00,1448.00,1,8
09/10/1999,1457.10,1457.10,1457.10,1457.10,1,8
09/13/1999,1449.90,1449.90,1449.90,1449.90,1,8
09/14/1999,1438.60,1438.60,1438.60,1438.60,1,8
09/15/1999,1417.50,1417.50,1417.50,1417.50,1,8
09/16/1999,1420.10,1420.10,1420.10,1420.10,1,8
09/17/1999,1438.70,1438.70,1438.70,1438.70,1,8
09/20/1999,1436.00,1436.00,1436.00,1436.00,1,8
09/21/1999,1406.00,1406.00,1406.00,1406.00,1,8
09/22/1999,1404.80,1404.80,1404.80,1404.80,1,8
09/23/1999,1372.40,1372.40,1372.40,1372.40,1,8
09/24/1999,1367.10,1367.10,1367.10,1367.10,1,8
09/27/1999,1375.60,1375.60,1375.60,1375.60,1,8
09/28/1999,1372.70,1372.70,1372.70,1372.70,1,8
09/29/1999,1358.00,1358.00,1358.00,1358.00,1,8
09/30/1999,1377.00,1377.00,1377.00,1377.00,1,8
10/01/1999,1374.90,1374.90,1374.90,1374.90,1,8
10/04/1999,1401.20,1401.20,1401.20,1401.20,1,8
10/05/1999,1400.20,1400.20,1400.20,1400.20,1,8
10/06/1999,1421.70,1421.70,1421.70,1421.70,1,8
10/07/1999,1415.00,1415.00,1415.00,1415.00,1,8
10/08/1999,1433.50,1433.50,1433.50,1433.50,1,8
10/11/1999,1434.30,1434.30,1434.30,1434.30,1,8
10/12/1999,1413.00,1413.00,1413.00,1413.00,1,8
10/13/1999,1373.50,1373.50,1373.50,1373.50,1,8
10/14/1999,1374.50,1374.50,1374.50,1374.50,1,8
10/15/1999,1339.30,1339.30,1339.30,1339.30,1,8
10/18/1999,1348.20,1348.20,1348.20,1348.20,1,8
10/19/1999,1357.50,1357.50,1357.50,1357.50,1,8
10/20/1999,1377.80,1377.80,1377.80,1377.80,6,12
10/21/1999,1381.00,1381.00,1381.00,1381.00,0,12
10/22/1999,1392.90,1392.90,1392.90,1392.90,0,12
10/25/1999,1389.00,1389.00,1386.20,1386.20,1,12
10/26/1999,1370.70,1370.70,1370.70,1370.70,0,12
10/27/1999,1390.50,1390.50,1390.50,1390.50,0,12
10/28/1999,1437.80,1437.80,1437.80,1437.80,0,12
10/29/1999,1450.00,1465.00,1450.00,1464.10,7,13
11/01/1999,1450.00,1450.00,1450.00,1450.00,0,13
11/02/1999,1439.70,1439.70,1439.70,1439.70,0,13
11/03/1999,1449.00,1449.00,1447.70,1447.70,6,17
11/04/1999,1455.80,1455.80,1455.80,1455.80,0,17
11/05/1999,1471.00,1471.00,1471.00,1471.00,0,17
11/08/1999,1469.60,1469.60,1469.60,1469.60,0,17
11/09/1999,1458.00,1458.00,1458.00,1458.00,0,17
11/10/1999,1467.10,1467.10,1467.10,1467.10,0,17
11/11/1999,1474.80,1474.80,1474.80,1474.80,0,17
11/12/1999,1488.90,1488.90,1488.90,1488.90,0,17
11/15/1999,1490.30,1490.30,1490.30,1490.30,0,17
11/16/1999,1520.70,1520.70,1520.70,1520.70,0,17
11/17/1999,1515.00,1515.00,1508.50,1508.50,5,16
11/18/1999,1520.00,1520.00,1520.00,1520.00,0,16
11/19/1999,1518.50,1518.50,1518.50,1518.50,0,16
11/22/1999,1518.50,1518.50,1518.50,1518.50,0,16
11/23/1999,1503.70,1503.70,1503.70,1503.70,0,16
11/24/1999,1513.40,1513.40,1513.40,1513.40,0,16
11/26/1999,1506.60,1506.60,1506.60,1506.60,0,16
11/29/1999,1502.90,1502.90,1502.90,1502.90,0,21
11/30/1999,1482.00,1482.00,1482.00,1482.00,8,14
12/01/1999,1494.00,1494.00,1494.00,1494.00,1,15
12/02/1999,1504.20,1504.20,1504.20,1504.20,0,15
12/03/1999,1531.50,1531.50,1531.50,1531.50,0,15
12/06/1999,1518.30,1518.30,1518.30,1518.30,0,15
12/07/1999,1508.30,1508.30,1508.30,1508.30,0,15
12/08/1999,1497.40,1497.40,1497.40,1497.40,0,15
12/09/1999,1502.40,1502.40,1502.40,1502.40,0,15
12/10/1999,1508.40,1508.40,1508.40,1508.40,0,15
12/13/1999,1511.70,1511.70,1511.70,1511.70,0,15
12/14/1999,1500.40,1500.40,1500.40,1500.40,0,15
12/15/1999,1505.00,1505.00,1505.00,1505.00,0,15
12/16/1999,1514.40,1514.40,1514.40,1514.40,0,15
12/17/1999,1522.50,1522.50,1522.50,1522.50,0,15
12/20/1999,1513.50,1513.50,1513.50,1513.50,0,15
12/21/1999,1534.80,1534.80,1534.80,1534.80,0,15
12/22/1999,1537.80,1537.80,1537.80,1537.80,0,15
12/23/1999,1561.90,1561.90,1561.90,1561.90,0,15
12/27/1999,1558.90,1558.90,1558.90,1558.90,0,15
12/28/1999,1560.20,1560.20,1560.20,1560.20,0,15
12/29/1999,1564.10,1564.10,1564.10,1564.10,0,15
12/30/1999,1563.10,1563.10,1563.10,1563.10,0,15
12/31/1999,1566.90,1566.90,1566.90,1566.90,0,0
01/03/2000,1549.50,1549.50,1549.50,1549.50,0,15
01/04/2000,1492.70,1492.70,1492.70,1492.70,41,55
01/05/2000,1498.00,1498.00,1494.80,1494.80,0,55
01/06/2000,1484.60,1484.60,1484.60,1484.60,2,56
01/07/2000,1518.20,1542.40,1518.20,1542.40,2,55
01/10/2000,1558.00,1558.00,1558.00,1558.00,0,55
01/11/2000,1540.00,1540.00,1536.50,1536.50,2,55
01/12/2000,1524.40,1524.40,1524.40,1524.40,0,55
01/13/2000,1541.90,1541.90,1541.90,1541.90,100,155
01/14/2000,1560.20,1561.80,1560.20,1561.80,2,154
01/18/2000,1552.90,1552.90,1552.90,1552.90,0,154
01/19/2000,1556.20,1556.20,1556.20,1556.20,0,154
01/20/2000,1540.10,1540.10,1540.00,1540.00,2,155
01/21/2000,1536.60,1536.60,1536.60,1536.60,0,155
01/24/2000,1488.00,1493.30,1488.00,1493.30,4,157
01/25/2000,1499.50,1499.50,1499.50,1499.50,0,157
01/26/2000,1496.30,1496.30,1496.30,1496.30,0,157
01/27/2000,1508.20,1508.20,1486.00,1490.30,5,158
01/28/2000,1468.00,1468.00,1446.60,1446.60,7,163
01/31/2000,1482.50,1482.50,1482.50,1482.50,2,162
02/01/2000,1499.30,1499.30,1499.30,1499.30,0,162
02/02/2000,1498.20,1498.20,1498.20,1498.20,0,162
02/03/2000,1518.20,1519.60,1518.20,1519.60,6,160
02/04/2000,1514.50,1514.50,1514.50,1514.50,8,157
02/07/2000,1510.30,1510.30,1510.30,1510.30,0,156
02/08/2000,1530.30,1530.30,1530.30,1530.30,1,155
02/09/2000,1500.90,1500.90,1500.90,1500.90,5,155
02/10/2000,1498.00,1502.40,1498.00,1502.40,2,157
02/11/2000,1468.10,1478.10,1468.10,1478.10,3,159
