"Date","Open","High","Low","Close","Volume","OpenInt"
12/17/1999,1585.50,1585.50,1585.50,1585.50,0,0
12/20/1999,1577.50,1577.50,1577.50,1577.50,0,0
12/21/1999,1599.80,1599.80,1599.80,1599.80,0,0
12/22/1999,1602.80,1602.80,1602.80,1602.80,0,0
12/23/1999,1626.80,1626.80,1626.80,1626.80,0,0
12/27/1999,1623.90,1623.90,1623.90,1623.90,0,0
12/28/1999,1625.20,1625.20,1625.20,1625.20,0,0
12/29/1999,1633.10,1633.10,1633.10,1633.10,0,0
12/30/1999,1632.10,1632.10,1632.10,1632.10,0,0
12/31/1999,1635.90,1635.90,1635.90,1635.90,0,0
01/03/2000,1618.50,1618.50,1618.50,1618.50,0,0
01/04/2000,1561.80,1561.80,1561.80,1561.80,0,0
01/05/2000,1563.80,1563.80,1563.80,1563.80,0,0
01/06/2000,1553.60,1553.60,1553.60,1553.60,0,0
01/07/2000,1611.40,1611.40,1611.40,1611.40,0,0
01/10/2000,1627.00,1627.00,1627.00,1627.00,0,0
01/11/2000,1605.50,1605.50,1605.50,1605.50,0,0
01/12/2000,1593.40,1593.40,1593.40,1593.40,0,0
01/13/2000,1610.90,1610.90,1610.90,1610.90,0,0
01/14/2000,1630.80,1630.80,1630.80,1630.80,0,0
01/18/2000,1621.90,1621.90,1621.90,1621.90,0,0
01/19/2000,1625.20,1625.20,1625.20,1625.20,0,0
01/20/2000,1609.00,1609.00,1609.00,1609.00,0,0
01/21/2000,1605.60,1605.60,1605.60,1605.60,0,0
01/24/2000,1562.30,1562.30,1562.30,1562.30,0,0
01/25/2000,1568.50,1568.50,1568.50,1568.50,0,0
01/26/2000,1565.30,1565.30,1565.30,1565.30,0,0
01/27/2000,1559.30,1559.30,1559.30,1559.30,0,0
01/28/2000,1515.60,1515.60,1515.60,1515.60,0,0
01/31/2000,1551.50,1551.50,1551.50,1551.50,0,0
02/01/2000,1568.30,1568.30,1568.30,1568.30,0,0
