"Date","Open","High","Low","Close","Volume","OpenInt"
09/15/2000,1650.70,1650.70,1650.70,1650.70,0,0
09/18/2000,1632.60,1632.60,1632.60,1632.60,0,0
09/19/2000,1644.40,1644.40,1644.40,1644.40,0,0
09/20/2000,1633.50,1633.50,1633.50,1633.50,0,0
09/21/2000,1634.00,1634.00,1634.00,1634.00,0,0
09/22/2000,1632.00,1632.00,1632.00,1632.00,0,0
09/25/2000,1625.40,1625.40,1625.40,1625.40,0,0
09/26/2000,1604.90,1604.90,1604.90,1604.90,0,0
09/27/2000,1609.10,1609.10,1609.10,1609.10,0,0
09/28/2000,1640.60,1640.60,1640.60,1640.60,0,0
09/29/2000,1616.70,1616.70,1616.70,1616.70,0,0
10/02/2000,1618.80,1618.80,1618.80,1618.80,0,0
10/03/2000,1603.80,1603.80,1603.80,1603.80,0,0
10/04/2000,1612.90,1612.90,1612.90,1612.90,0,0
10/05/2000,1618.70,1618.70,1618.70,1618.70,0,0
10/06/2000,1584.80,1584.80,1584.80,1584.80,0,0
10/09/2000,1574.50,1574.50,1574.50,1574.50,0,0
10/10/2000,1548.10,1548.10,1548.10,1548.10,0,0
10/11/2000,1534.50,1534.50,1534.50,1534.50,0,0
10/12/2000,1496.80,1496.80,1496.80,1496.80,0,0
10/13/2000,1541.20,1541.20,1541.20,1541.20,0,0
10/16/2000,1547.00,1547.00,1542.50,1542.50,2,2
10/17/2000,1513.00,1513.00,1510.00,1510.30,2,4
10/18/2000,1502.30,1502.30,1502.30,1502.30,0,4
10/19/2000,1552.40,1552.40,1552.40,1552.40,0,4
10/20/2000,1563.20,1563.20,1563.20,1563.20,0,4
10/23/2000,1569.40,1569.40,1569.40,1569.40,0,4
10/24/2000,1555.30,1555.30,1555.30,1555.30,0,4
10/25/2000,1525.20,1525.20,1525.20,1525.20,0,4
10/26/2000,1522.50,1522.50,1522.50,1522.50,0,4
10/27/2000,1552.60,1552.60,1552.60,1552.60,0,4
10/30/2000,1565.00,1565.00,1565.00,1565.00,0,4
10/31/2000,1598.70,1598.70,1598.70,1598.70,0,4
11/01/2000,1589.70,1589.70,1589.70,1589.70,0,4
11/02/2000,1592.90,1592.90,1592.90,1592.90,0,4
11/03/2000,1594.40,1594.40,1594.40,1594.40,0,4
11/06/2000,1605.20,1605.20,1605.20,1605.20,0,4
11/07/2000,1603.30,1603.30,1603.30,1603.30,0,4
11/08/2000,1571.50,1571.50,1571.50,1571.50,0,4
11/09/2000,1560.30,1560.30,1560.30,1560.30,0,4
11/10/2000,1528.90,1528.90,1528.90,1528.90,0,4
11/13/2000,1514.70,1514.70,1514.70,1514.70,0,4
11/14/2000,1550.70,1550.70,1550.70,1550.70,0,4
11/15/2000,1554.00,1554.00,1554.00,1554.00,0,4
11/16/2000,1535.60,1535.60,1535.60,1535.60,0,4
11/17/2000,1525.80,1525.80,1525.80,1525.80,0,4
11/20/2000,1501.80,1501.80,1501.80,1501.80,0,4
11/21/2000,1510.60,1510.60,1510.60,1510.60,0,4
11/22/2000,1476.30,1476.30,1476.30,1476.30,0,4
11/24/2000,1500.70,1500.70,1500.70,1500.70,0,4
11/27/2000,1513.30,1513.30,1513.30,1513.30,0,4
11/28/2000,1492.20,1492.20,1492.20,1492.20,0,4
11/29/2000,1484.80,1484.80,1484.80,1484.80,0,4
11/30/2000,1469.40,1469.40,1469.40,1469.40,0,4
12/01/2000,1468.50,1468.50,1468.50,1468.50,0,4
